vertices;tree graph edges;tree graph time;connected graph edges;connected graph time;complete graph edges;complete graph time
10;9;4986;22;6305;45;8833;
60;59;25097;885;204444;1770;379639;
110;109;26014;2997;411222;5995;786666;
160;159;25764;6360;615069;12720;731972;
210;209;20125;10972;458763;21945;878902;
260;259;23111;16835;899458;33670;1192361;
310;309;27916;23947;874902;47895;1783916;
360;359;31292;32310;1148472;64620;2256569;
410;409;35583;41922;1468833;83845;2870624;
460;459;38472;52785;1830847;105570;3669097;
510;509;46166;64897;2289986;129795;4529708;
560;559;47791;78260;2749513;156520;5458180;
610;609;50722;92872;3233750;185745;6337583;
660;659;55986;108735;3760417;217470;7422597;
710;709;60180;125847;4386458;251695;8659389;
760;759;63389;144210;5000194;288420;9877416;
810;809;68360;163822;5721944;327645;11335972;
860;859;71319;184685;6346569;369370;12787958;
910;909;76666;206797;7227944;413595;14340166;
960;959;81319;230160;8031611;460320;15934375;
1010;1009;84611;254772;8881625;509545;17630583;
