vertices;tree graph edges;tree graph time;connected graph edges;connected graph time;complete graph edges;complete graph time
10;9;11569;22;16333;45;21777;
60;59;61652;885;234375;1770;465486;
110;109;124917;2997;687875;5995;917625;
160;159;100792;6360;655652;12720;1010083;
210;209;92999;10972;742889;21945;1128777;
260;259;103639;16835;916875;33670;1569375;
310;309;132361;23947;1263888;47895;2164611;
360;359;147597;32310;1531083;64620;2825694;
410;409;172666;41922;2009847;83845;3705500;
460;459;194958;52785;2455000;105570;4493958;
510;509;213361;64897;2887638;129795;5513528;
560;559;243666;78260;3403653;156520;6439652;
610;609;270652;92872;4136444;185745;7631013;
660;659;288375;108735;4856805;217470;8510208;
710;709;309875;125847;5472805;251695;9850833;
760;759;333458;144210;6281722;288420;11305389;
810;809;358513;163822;6792194;327645;12594430;
860;859;413125;184685;7914972;369370;14595444;
910;909;416902;206797;8794847;413595;15809180;
960;959;449736;230160;9747819;460320;17365180;
1010;1009;453792;254772;10893375;509545;19121083;
