vertices;tree graph edges;tree graph time;connected graph edges;connected graph time;complete graph edges;complete graph time
10;9;16153;22;17819;45;17167;
60;59;2240875;885;2607111;1770;2557958;
110;109;12995555;2997;15283958;5995;15189194;
160;159;39336597;6360;46345861;12720;45953500;
210;209;90059222;10972;103967028;21945;103907958;
260;259;172141861;16835;195496889;33670;193420750;
310;309;289901235;23947;331117596;47895;327514180;
360;359;453804958;32310;514690791;64620;513312416;
410;409;682147361;41922;760644611;83845;757267167;
460;459;948553125;52785;1074227611;105570;1071992430;
510;509;1302117805;64897;1459755916;129795;1454449527;
560;559;1726722388;78260;1931582888;156520;1925303139;
610;609;2250008306;92872;2493191055;185745;2485277097;
660;659;2854146444;108735;3164736889;217470;3145545736;
710;709;3494823889;125847;3925897361;251695;3913053792;
760;759;4278471500;144210;4815015583;288420;178954732527;
810;809;5153177986;163822;5755105777;327645;5746206985;
860;859;6160264972;184685;6922871041;369370;6924337652;
910;909;7406474833;206797;8263019694;413595;8240903833;
960;959;8654664472;230160;9700531791;460320;9666547249;
1010;1009;10012768250;254772;11276774916;509545;11251800346;
