vertices;tree graph edges;tree graph time;connected graph edges;connected graph time;complete graph edges;complete graph time
10;9;4458;22;5305;45;6763;
60;59;77902;885;133930;1770;183430;
110;109;215333;2997;386319;5995;528708;
160;159;371902;6360;639055;12720;829166;
210;209;513333;10972;900778;21945;1134097;
260;259;719347;16835;1313361;33670;1633861;
310;309;995306;23947;1822138;47895;2300166;
360;359;1396250;32310;2500041;64620;3064972;
410;409;1843375;41922;3275680;83845;4037347;
460;459;2237541;52785;4079986;105570;4941861;
510;509;2753472;64897;4848319;129795;6138792;
560;559;3367639;78260;5879889;156520;7370166;
610;609;3990083;92872;6728694;185745;8678986;
660;659;4731527;108735;8051153;217470;10119041;
710;709;5426916;125847;9431069;251695;12006958;
760;759;6262847;144210;10355013;288420;13530722;
810;809;7067653;163822;11749111;327645;15442069;
860;859;8172277;184685;13332888;369370;17337249;
910;909;9095722;206797;14712847;413595;19203708;
960;959;10227111;230160;16311694;460320;21663152;
1010;1009;11463667;254772;18541611;509545;24479986;
